keypoints,label
"(297.4990234375, 3991.69287109375)",0
"(2583.1884765625, 3966.1904296875)",0
"(2861.755859375, 3940.929443359375)",0
"(2512.93896484375, 3889.83984375)",0
"(2909.52099609375, 3886.3623046875)",0
"(3563.905517578125, 3886.245361328125)",0
"(3159.32275390625, 3884.5859375)",0
"(2558.371826171875, 3866.706298828125)",0
"(3162.96630859375, 3855.184814453125)",0
"(3892.35205078125, 3843.819580078125)",0
"(4416.18359375, 3833.9990234375)",0
"(2871.871337890625, 3817.071044921875)",0
"(3586.395263671875, 3762.57421875)",0
"(5909.47607421875, 3745.91650390625)",0
"(3402.76416015625, 3749.77392578125)",0
"(2572.14013671875, 3744.373046875)",0
"(3296.86767578125, 3742.24169921875)",0
"(5784.1943359375, 3701.89453125)",0
"(4431.99560546875, 3703.11328125)",0
"(2889.866455078125, 3694.86376953125)",0
"(2562.28564453125, 3692.35986328125)",0
"(2658.88134765625, 3693.38525390625)",0
"(2582.080322265625, 3684.693603515625)",0
"(3189.17236328125, 3670.78173828125)",0
"(3387.567138671875, 3669.285400390625)",0
"(2895.618408203125, 3663.17138671875)",0
"(3589.694091796875, 3646.748291015625)",0
"(2900.090576171875, 3631.85595703125)",0
"(2589.419921875, 3624.2880859375)",0
"(3633.462890625, 3619.9013671875)",0
"(5340.8837890625, 3617.405517578125)",0
"(2907.327880859375, 3601.458984375)",0
"(2595.10888671875, 3592.052734375)",0
"(4446.4892578125, 3590.968017578125)",0
"(3434.66552734375, 3577.1884765625)",0
"(4971.8837890625, 3572.031494140625)",0
"(2912.627685546875, 3573.55029296875)",0
"(5016.39599609375, 3555.65625)",0
"(4245.955078125, 3555.523681640625)",0
"(3198.972412109375, 3547.7578125)",0
"(2487.695068359375, 3541.051513671875)",0
"(3841.8076171875, 3541.246337890625)",0
"(2917.405029296875, 3541.1728515625)",0
"(3798.052001953125, 3534.7392578125)",0
"(2837.87060546875, 3529.8994140625)",0
"(4252.67333984375, 3527.46875)",0
"(2759.487548828125, 3516.33203125)",0
"(3804.89599609375, 3505.781494140625)",0
"(5398.439453125, 3494.396484375)",0
"(3887.43115234375, 3491.372802734375)",0
"(3649.945068359375, 3487.0341796875)",0
"(4855.25927734375, 3488.390625)",0
"(2924.15185546875, 3482.34375)",0
"(4611.49072265625, 3475.64892578125)",0
"(4255.96337890625, 3469.5888671875)",0
"(4901.55224609375, 3460.619140625)",0
"(3650.84765625, 3461.284423828125)",0
"(4336.31689453125, 3453.7216796875)",0
"(1917.985107421875, 3446.532470703125)",0
"(4902.87841796875, 3437.0107421875)",0
"(5711.55517578125, 3423.17529296875)",0
"(2931.54052734375, 3421.643310546875)",0
"(5606.3193359375, 3414.12939453125)",0
"(2895.340087890625, 3384.22509765625)",0
"(2610.70458984375, 3382.275146484375)",0
"(5815.93603515625, 3375.149169921875)",0
"(5611.37158203125, 3342.3115234375)",0
"(5907.9287109375, 3331.08984375)",0
"(5908.90234375, 3304.771240234375)",0
"(5909.255859375, 3282.877685546875)",0
"(5867.0771484375, 3272.705810546875)",0
"(3960.76708984375, 3267.08984375)",0
"(5910.73095703125, 3249.463623046875)",0
"(5494.53271484375, 3213.397216796875)",0
"(3278.6181640625, 3213.09033203125)",0
"(3595.375244140625, 3210.574951171875)",0
"(3281.989990234375, 3183.357421875)",0
"(5056.451171875, 3181.015869140625)",0
"(5633.189453125, 3123.557373046875)",0
"(5429.32763671875, 3109.6923828125)",0
"(1518.757080078125, 3107.414306640625)",0
"(1367.9588623046875, 3086.57666015625)",0
"(2566.133056640625, 3083.4208984375)",0
"(1317.2591552734375, 3079.80224609375)",0
"(1955.1029052734375, 3074.9150390625)",0
"(1268.139404296875, 3072.1025390625)",0
"(5473.33056640625, 3069.2060546875)",0
"(4949.64892578125, 3063.669677734375)",0
"(1195.6461181640625, 3062.5751953125)",0
"(1172.6737060546875, 3057.174560546875)",0
"(1149.8690185546875, 3051.919921875)",0
"(5070.09228515625, 3047.405029296875)",0
"(1093.219970703125, 3042.315673828125)",0
"(4910.3857421875, 3034.929931640625)",0
"(1297.564453125, 3034.337890625)",0
"(1046.755126953125, 3029.062255859375)",0
"(1509.239501953125, 3030.541015625)",0
"(1478.085205078125, 3028.50048828125)",0
"(4871.4384765625, 3028.6376953125)",0
"(971.96533203125, 3023.899169921875)",0
"(953.3956909179688, 3020.33203125)",0
"(5397.671875, 3019.440673828125)",0
"(1125.900390625, 3017.49853515625)",0
"(2683.11669921875, 3010.990478515625)",0
"(930.9034423828125, 3012.576171875)",0
"(1379.427734375, 3010.121826171875)",0
"(904.5079956054688, 3011.005126953125)",0
"(878.8131713867188, 3010.611572265625)",0
"(855.5509643554688, 3005.35498046875)",0
"(3101.44482421875, 3001.818603515625)",0
"(1098.4459228515625, 3002.083984375)",0
"(1071.2230224609375, 3000.173828125)",0
"(1278.504150390625, 2995.255126953125)",0
"(1302.694580078125, 2998.780517578125)",0
"(1253.3291015625, 2995.517822265625)",0
"(1006.836181640625, 2995.4228515625)",0
"(3267.111572265625, 2991.6845703125)",0
"(1509.6763916015625, 2990.95556640625)",0
"(2982.41162109375, 2990.806640625)",0
"(1229.9547119140625, 2985.629150390625)",0
"(955.4027099609375, 2986.830078125)",0
"(757.4241943359375, 2976.4013671875)",0
"(1159.7467041015625, 2981.705810546875)",0
"(938.723388671875, 2980.02294921875)",0
"(735.9002685546875, 2979.304931640625)",0
"(1435.8895263671875, 2977.2939453125)",0
"(1409.287353515625, 2979.151123046875)",0
"(708.5155029296875, 2975.5166015625)",0
"(863.486572265625, 2970.935791015625)",0
"(1385.48681640625, 2972.8662109375)",0
"(1131.863037109375, 2973.609619140625)",0
"(1332.9500732421875, 2968.436279296875)",0
"(1108.5318603515625, 2967.39501953125)",0
"(1313.1943359375, 2964.150390625)",0
"(834.3783569335938, 2964.317138671875)",0
"(637.0670166015625, 2962.49462890625)",0
"(1285.64013671875, 2958.878662109375)",0
"(1262.574951171875, 2956.23681640625)",0
"(814.8740844726562, 2954.186279296875)",0
"(590.07958984375, 2954.53662109375)",0
"(1537.375, 2954.179443359375)",0
"(1011.7444458007812, 2953.04736328125)",0
"(564.34375, 2952.611083984375)",0
"(1513.6146240234375, 2952.24365234375)",0
"(1241.7069091796875, 2949.242431640625)",0
"(988.9163818359375, 2947.1494140625)",0
"(1212.3004150390625, 2949.02978515625)",0
"(542.4189453125, 2946.46533203125)",0
"(1439.36328125, 2943.867919921875)",0
"(740.439208984375, 2943.665771484375)",0
"(5817.51806640625, 2940.44873046875)",0
"(1415.5804443359375, 2940.803955078125)",0
"(1187.839599609375, 2941.533935546875)",0
"(919.4964599609375, 2939.629150390625)",0
"(1165.6466064453125, 2939.373779296875)",0
"(692.2029418945312, 2939.891357421875)",0
"(490.4344787597656, 2935.999267578125)",0
"(1138.05615234375, 2934.96484375)",0
"(869.6797485351562, 2930.176513671875)",0
"(1117.311767578125, 2932.4365234375)",0
"(1097.18701171875, 2927.85400390625)",0
"(616.4058837890625, 2925.645263671875)",0
"(5125.22705078125, 2920.994384765625)",0
"(843.5494995117188, 2922.527587890625)",0
"(1073.111572265625, 2922.231201171875)",0
"(4848.07763671875, 2920.087890625)",0
"(2700.3173828125, 2915.6533203125)",0
"(1266.0194091796875, 2915.350341796875)",0
"(800.2560424804688, 2915.6884765625)",0
"(569.63525390625, 2913.8359375)",0
"(1018.6065673828125, 2912.467041015625)",0
"(548.4110107421875, 2912.673583984375)",0
"(1251.4384765625, 2910.287841796875)",0
"(997.68896484375, 2908.2734375)",0
"(745.13037109375, 2905.75634765625)",0
"(1216.588623046875, 2906.11328125)",0
"(972.0357055664062, 2903.47314453125)",0
"(947.0751342773438, 2904.037109375)",0
"(4928.8857421875, 2902.339599609375)",0
"(1193.6085205078125, 2900.512451171875)",0
"(1146.429931640625, 2899.232666015625)",0
"(724.861083984375, 2900.071533203125)",0
"(921.6641845703125, 2898.807373046875)",0
"(899.2045288085938, 2895.276123046875)",0
"(2589.767822265625, 2894.71728515625)",0
"(876.0347290039062, 2890.196044921875)",0
"(1346.51220703125, 2888.27734375)",0
"(2452.81103515625, 2886.622314453125)",0
"(1319.26904296875, 2884.221435546875)",0
"(849.8195190429688, 2884.65966796875)",0
"(1249.32275390625, 2875.697021484375)",0
"(804.4197387695312, 2873.620361328125)",0
"(778.9614868164062, 2871.073974609375)",0
"(1505.01904296875, 2868.68212890625)",0
"(1197.30615234375, 2865.373779296875)",0
"(753.9788818359375, 2866.6279296875)",0
"(960.7057495117188, 2865.861328125)",0
"(1177.1253662109375, 2863.119140625)",0
"(930.4044799804688, 2863.4111328125)",0
"(728.002197265625, 2863.3251953125)",0
"(1156.0078125, 2858.068115234375)",0
"(1130.9051513671875, 2855.02880859375)",0
"(701.125, 2856.832763671875)",0
"(900.644287109375, 2857.68212890625)",0
"(680.3462524414062, 2855.824462890625)",0
"(2108.818115234375, 2850.343505859375)",0
"(1105.6361083984375, 2849.053955078125)",0
"(1996.4632568359375, 2846.428466796875)",0
"(1329.726806640625, 2841.843994140625)",0
"(831.5654296875, 2843.168701171875)",0
"(388.0090026855469, 2841.8974609375)",0
"(63.30129623413086, 2842.938720703125)",0
"(2633.6240234375, 2839.097900390625)",0
"(1079.345703125, 2843.265380859375)",0
"(808.7083129882812, 2839.08544921875)",0
"(86.50198364257812, 2840.9375)",0
"(559.0992431640625, 2836.69189453125)",0
"(1283.710693359375, 2834.978759765625)",0
"(1253.156005859375, 2830.610107421875)",0
"(4740.34521484375, 2828.497802734375)",0
"(758.7969970703125, 2827.160400390625)",0
"(685.1409301757812, 2819.4296875)",0
"(733.6947631835938, 2823.937744140625)",0
"(180.29075622558594, 2815.4228515625)",0
"(1385.438720703125, 2815.699462890625)",0
"(1333.607177734375, 2813.719482421875)",0
"(661.1411743164062, 2812.735107421875)",0
"(460.935791015625, 2813.5791015625)",0
"(1113.4156494140625, 2813.133544921875)",0
"(413.74658203125, 2808.9599609375)",0
"(1300.5166015625, 2807.099853515625)",0
"(635.7706298828125, 2808.5810546875)",0
"(66.92939758300781, 2806.864013671875)",0
"(834.8853149414062, 2801.39599609375)",0
"(5060.45849609375, 2800.378662109375)",0
"(3288.08349609375, 2801.13427734375)",0
"(1280.6143798828125, 2798.10107421875)",0
"(789.6515502929688, 2793.26171875)",0
"(759.7001953125, 2790.56884765625)",0
"(736.5689697265625, 2784.41845703125)",0
"(1164.2171630859375, 2774.390869140625)",0
"(222.34820556640625, 2779.87939453125)",0
"(713.7371215820312, 2780.279052734375)",0
"(517.219482421875, 2781.42041015625)",0
"(1412.3951416015625, 2776.76123046875)",0
"(1137.544921875, 2777.98046875)",0
"(187.00469970703125, 2777.866943359375)",0
"(1364.76611328125, 2768.548095703125)",0
"(666.4572143554688, 2773.881591796875)",0
"(688.9962158203125, 2776.7421875)",0
"(1086.883544921875, 2769.9404296875)",0
"(868.3406372070312, 2766.298828125)",0
"(398.5782775878906, 2767.180908203125)",0
"(845.339111328125, 2766.008544921875)",0
"(1040.4925537109375, 2762.073974609375)",0
"(1266.8226318359375, 2754.724609375)",0
"(790.9201049804688, 2756.982666015625)",0
"(570.09716796875, 2756.564453125)",0
"(2040.8717041015625, 2757.59326171875)",0
"(1016.0023193359375, 2754.0205078125)",0
"(988.844482421875, 2753.369384765625)",0
"(968.2444458007812, 2748.711669921875)",0
"(523.5691528320312, 2748.45263671875)",0
"(497.3556823730469, 2740.900146484375)",0
"(1143.871826171875, 2740.776611328125)",0
"(718.9944458007812, 2744.314208984375)",0
"(149.06988525390625, 2740.3701171875)",0
"(5143.65234375, 2735.724853515625)",0
"(473.98583984375, 2737.15673828125)",0
"(124.98306274414062, 2736.520751953125)",0
"(896.6400146484375, 2735.014404296875)",0
"(668.502685546875, 2735.911865234375)",0
"(427.2751159667969, 2731.565673828125)",0
"(60.33066940307617, 2733.777587890625)",0
"(5345.39990234375, 2727.220458984375)",0
"(1095.40869140625, 2726.056396484375)",0
"(1044.542236328125, 2725.150634765625)",0
"(1315.1441650390625, 2722.065185546875)",0
"(381.6917419433594, 2721.889892578125)",0
"(453.8678283691406, 2717.678955078125)",0
"(1025.97607421875, 2716.26904296875)",0
"(360.1468200683594, 2714.801513671875)",0
"(1572.66357421875, 2711.30419921875)",0
"(1267.429443359375, 2713.846923828125)",0
"(769.0077514648438, 2710.849365234375)",0
"(748.1068115234375, 2708.4658203125)",0
"(1194.8707275390625, 2706.618896484375)",0
"(1127.2381591796875, 2701.56640625)",0
"(1455.5086669921875, 2699.3603515625)",0
"(474.222412109375, 2695.343994140625)",0
"(672.4419555664062, 2698.1083984375)",0
"(457.7728271484375, 2696.086181640625)",0
"(1403.7532958984375, 2696.29345703125)",0
"(255.19700622558594, 2696.16259765625)",0
"(1100.078125, 2691.384765625)",0
"(1379.2086181640625, 2691.37646484375)",0
"(385.2740478515625, 2686.0615234375)",0
"(411.573486328125, 2684.996826171875)",0
"(1584.75439453125, 2675.792236328125)",0
"(1001.3936767578125, 2675.199951171875)",0
"(1560.182861328125, 2671.73095703125)",0
"(978.2606811523438, 2672.445068359375)",0
"(529.5018920898438, 2670.26611328125)",0
"(2500.141357421875, 2672.649658203125)",0
"(1537.2734375, 2667.6298828125)",0
"(93.81510162353516, 2664.283935546875)",0
"(5191.845703125, 2660.24755859375)",0
"(1460.1363525390625, 2660.806396484375)",0
"(1409.544921875, 2660.165771484375)",0
"(725.5379638671875, 2661.97900390625)",0
"(901.2976684570312, 2659.9990234375)",0
"(2164.818115234375, 2658.343505859375)",0
"(1382.5802001953125, 2656.40869140625)",0
"(15.67504596710205, 2654.993408203125)",0
"(238.307373046875, 2655.69091796875)",0
"(880.4970092773438, 2652.449462890625)",0
"(680.009033203125, 2653.9833984375)",0
"(655.8273315429688, 2655.453857421875)",0
"(442.0599365234375, 2652.149169921875)",0
"(2507.0556640625, 2646.466552734375)",0
"(3308.3916015625, 2645.76025390625)",0
"(413.91815185546875, 2644.935791015625)",0
"(389.5232849121094, 2643.3095703125)",0
"(1303.8970947265625, 2643.2255859375)",0
"(584.4389038085938, 2644.907470703125)",0
"(166.3397674560547, 2642.775634765625)",0
"(4751.4853515625, 2640.6826171875)",0
"(1009.0885009765625, 2637.505126953125)",0
"(807.7064819335938, 2641.0)",0
"(2508.20703125, 2636.055419921875)",0
"(342.1108703613281, 2632.578857421875)",0
"(983.6396484375, 2631.45654296875)",0
"(121.37937927246094, 2634.953125)",0
"(961.220947265625, 2628.5693359375)",0
"(492.4640197753906, 2627.409912109375)",0
"(67.75382995605469, 2628.222412109375)",0
"(708.9039306640625, 2623.437744140625)",0
"(23.211679458618164, 2621.274658203125)",0
"(911.1757202148438, 2618.52685546875)",0
"(463.44244384765625, 2618.1181640625)",0
"(689.775634765625, 2620.696044921875)",0
"(1360.947509765625, 2615.14697265625)",0
"(3315.566650390625, 2613.483642578125)",0
"(596.322509765625, 2607.073974609375)",0
"(839.343505859375, 2606.53173828125)",0
"(418.5482177734375, 2607.8046875)",0
"(815.8399047851562, 2602.630859375)",0
"(155.06112670898438, 2601.459716796875)",0
"(2515.933349609375, 2599.35546875)",0
"(1041.2626953125, 2600.666015625)",0
"(790.2098999023438, 2596.63330078125)",0
"(362.54058837890625, 2595.234375)",0
"(539.4549560546875, 2594.685791015625)",0
"(1570.714111328125, 2593.9765625)",0
"(768.9718017578125, 2592.92431640625)",0
"(966.5192260742188, 2590.351806640625)",0
"(746.12841796875, 2589.4072265625)",0
"(942.2459106445312, 2586.256591796875)",0
"(1472.7216796875, 2584.93701171875)",0
"(469.72174072265625, 2582.731201171875)",0
"(1418.6104736328125, 2582.193359375)",0
"(717.287841796875, 2582.697265625)",0
"(3318.142578125, 2581.213134765625)",0
"(917.01953125, 2580.640625)",0
"(694.5960083007812, 2579.22021484375)",0
