keypoints,label
"(1279.651611328125, 3972.45458984375)",0
"(1231.1640625, 3960.824462890625)",0
"(1409.02880859375, 3890.05810546875)",0
"(3219.44970703125, 3838.8876953125)",12
"(1234.21875, 3805.360595703125)",0
"(1277.34228515625, 3787.487548828125)",0
"(1738.4464111328125, 3779.58642578125)",0
"(1283.8162841796875, 3755.820068359375)",0
"(1379.8072509765625, 3690.406494140625)",0
"(1788.69921875, 3664.07080078125)",0
"(1131.6224365234375, 3632.36572265625)",0
"(5929.90185546875, 3621.65625)",0
"(5850.7666015625, 3604.14453125)",0
"(5732.033203125, 3579.199951171875)",0
"(1778.7110595703125, 3565.7822265625)",0
"(1148.674560546875, 3559.231201171875)",0
"(984.5669555664062, 3518.846435546875)",0
"(1768.46142578125, 3502.80712890625)",0
"(5282.25244140625, 3493.3232421875)",0
"(1314.789794921875, 3486.55322265625)",0
"(5230.5791015625, 3482.74560546875)",0
"(5172.6513671875, 3474.447021484375)",0
"(5124.6513671875, 3466.447021484375)",0
"(4942.57666015625, 3435.306396484375)",0
"(4354.7666015625, 3340.14453125)",0
"(2849.254150390625, 3295.54296875)",12
"(3967.91064453125, 3293.843017578125)",0
"(1747.262939453125, 3276.559326171875)",0
"(1501.8585205078125, 3250.40966796875)",0
"(3550.634033203125, 3220.547607421875)",0
"(3106.7666015625, 3140.14453125)",0
"(3092.651611328125, 3138.447021484375)",0
"(1558.83837890625, 2699.5859375)",0
"(1473.25, 2668.010498046875)",0
"(1457.6666259765625, 2661.3583984375)",0
"(1326.888916015625, 2619.4443359375)",0
"(1302.5250244140625, 2611.316650390625)",0
"(1178.2525634765625, 2573.3232421875)",0
"(1146.9200439453125, 2563.506591796875)",0
"(869.07763671875, 2555.711181640625)",0
"(833.7485961914062, 2503.12744140625)",0
"(801.2280883789062, 2502.630126953125)",0
"(906.7666625976562, 2492.14453125)",0
"(810.7666625976562, 2476.14453125)",0
"(762.7666625976562, 2468.14453125)",0
"(715.8600463867188, 2461.524658203125)",0
"(53.92683410644531, 2452.91552734375)",0
"(666.7666625976562, 2452.14453125)",0
"(618.7666625976562, 2444.14453125)",0
"(426.76666259765625, 2412.14453125)",0
"(413.7872619628906, 2412.112060546875)",0
"(5290.685546875, 1427.5283203125)",0
"(5322.685546875, 1419.5283203125)",0
"(4499.2822265625, 1414.248291015625)",0
"(5418.7109375, 1395.2869873046875)",0
"(5450.685546875, 1387.5283203125)",0
"(5481.8876953125, 1376.464111328125)",0
"(5514.685546875, 1371.5283203125)",0
"(5546.63427734375, 1363.4918212890625)",0
"(5610.685546875, 1347.5283203125)",0
"(4060.2333984375, 1346.8555908203125)",0
"(5642.685546875, 1339.5283203125)",0
"(5674.685546875, 1331.5283203125)",0
"(5706.685546875, 1323.5283203125)",0
"(5738.685546875, 1315.5283203125)",0
"(5770.685546875, 1307.5283203125)",0
"(3871.72705078125, 1307.2518310546875)",0
"(5802.685546875, 1299.5283203125)",0
"(5834.685546875, 1291.5283203125)",0
"(5862.513671875, 1281.97705078125)",0
"(2936.488525390625, 1164.125244140625)",0
"(2942.205810546875, 1153.8563232421875)",0
"(5908.271484375, 1143.3875732421875)",0
"(2444.2333984375, 1082.8555908203125)",0
"(2196.74755859375, 1041.6767578125)",0
"(5931.22705078125, 1013.5035400390625)",0
"(2031.89501953125, 1011.697998046875)",0
"(1901.6575927734375, 986.2122802734375)",0
"(1864.242431640625, 979.1060791015625)",0
"(1823.78466796875, 971.672607421875)",0
"(1692.7474365234375, 945.6767578125)",0
"(1656.242431640625, 939.1060791015625)",0
"(1612.2332763671875, 930.8555297851562)",0
"(1448.242431640625, 899.1060791015625)",0
"(1412.0799560546875, 891.4933471679688)",0
"(1242.9666748046875, 851.7999877929688)",0
"(1210.9666748046875, 843.7999877929688)",0
"(1178.9666748046875, 835.7999877929688)",0
"(1088.24755859375, 811.7333374023438)",0
"(1060.314453125, 803.5283203125)",0
"(5971.14990234375, 779.5748291015625)",0
"(5979.72998046875, 730.4365234375)",0
"(754.9666748046875, 723.7999877929688)",0
"(635.7391357421875, 691.5362548828125)",0
"(5987.02880859375, 687.2427978515625)",0
"(602.9666748046875, 683.7999877929688)",0
"(512.2476196289062, 659.7333374023438)",0
"(482.9484558105469, 650.96142578125)",0
"(420.6140441894531, 634.0292358398438)",0
"(404.7716064453125, 626.2036743164062)",0
"(390.64080810546875, 618.5533447265625)",0
"(222.33750915527344, 530.41796875)",0
"(1108.022216796875, 3986.0859375)",0
"(3886.26220703125, 3984.583251953125)",12
"(1305.5135498046875, 3982.998291015625)",0
"(760.23681640625, 3976.61572265625)",0
"(3115.153564453125, 3975.013916015625)",12
"(3479.17822265625, 3965.6318359375)",12
"(3274.233154296875, 3968.08154296875)",12
"(5174.54345703125, 3963.68310546875)",12
"(3762.75146484375, 3961.639892578125)",12
"(1472.8555908203125, 3959.3681640625)",0
"(3232.786376953125, 3959.572021484375)",12
"(1118.3148193359375, 3958.0419921875)",0
"(1394.286865234375, 3948.354736328125)",0
"(3359.783935546875, 3947.21630859375)",12
"(1015.7713623046875, 3943.220947265625)",0
"(3809.90771484375, 3943.831787109375)",12
"(1277.305908203125, 3943.335693359375)",0
"(1159.378662109375, 3939.96826171875)",0
"(3775.72265625, 3934.172607421875)",12
"(987.3350830078125, 3936.08447265625)",0
"(3318.5244140625, 3937.33154296875)",12
"(1239.739501953125, 3933.498046875)",0
"(1114.36328125, 3931.08740234375)",0
"(1553.5496826171875, 3926.307861328125)",0
"(1320.3997802734375, 3927.13623046875)",0
"(4727.5517578125, 3920.686767578125)",12
"(1436.41162109375, 3919.677734375)",0
"(1201.8095703125, 3917.883544921875)",0
"(3208.0732421875, 3917.04052734375)",12
"(1050.966064453125, 3915.54931640625)",0
"(3450.68994140625, 3912.704345703125)",12
"(886.8303833007812, 3910.919189453125)",0
"(3486.21923828125, 3916.31103515625)",12
"(4353.10498046875, 3908.0771484375)",12
"(851.0355224609375, 3909.221435546875)",0
"(3368.054443359375, 3901.313720703125)",12
"(3738.911865234375, 3900.14501953125)",12
"(3325.78369140625, 3895.37890625)",12
"(1216.9429931640625, 3888.92919921875)",0
"(4858.19580078125, 3886.516845703125)",12
"(3251.11279296875, 3879.80712890625)",12
"(3461.850830078125, 3879.90869140625)",12
"(4646.9599609375, 3876.205322265625)",12
"(3496.202880859375, 3875.90966796875)",12
"(3426.458984375, 3872.6201171875)",12
"(1139.811279296875, 3871.11181640625)",0
"(1014.8155517578125, 3862.704345703125)",0
"(3671.572265625, 3860.294677734375)",12
"(1649.5101318359375, 3860.831298828125)",0
